name,"Apple MacBook Pro MLUQ2LL/A 13.3 Notebook - Intel Core i5 Dual-core (2 Core) 2 GHz - 8 GB LPDDR3 - 256 GB SSD - Mac OS X 10.12 Sierra - 2560 x 1600 - In-plane Switching (IPS) Technology - Silver""CPE","Lenovo - 100S-14IBR 14 Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory - Navy blue""CPE",Acer 15.6 Chromebook CB5-571-C4G4CPE,ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703XCPE,"Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red""CPE","12 MacBook (Mid 2017, Silver)CPE","Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb""CPE"
"12 MacBook (Mid 2017, Gold)",5.59,0.32,4.22,10.34,19.28,18.5,22.12
"12 MacBook (Mid 2017, Silver)",-5.43,-8.76,-5.73,-10.59,-9.61,-10.45,-9.77
12.3 32GB Multi-Touch 2-in-1 Chromebook Plus,-2.39,-6.23,-2.47,-7.75,-7.11,-8.38,-9.45
"13.3 MacBook Air (Mid 2017, Silver)",-2.06,-1.18,-0.62,6.88,-3.85,2.71,-5.68
"15.4 MacBook Pro with Touch Bar (Late 2016, Silver)",-35.78,-18.44,-26.44,-3.39,-5.78,-2.03,5.42
"15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray)",4.75,12.2,2.75,3.92,1.44,21.36,8.54
ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703X,1.04,-1.71,0.02,-4.95,-0.69,-4.29,-6.47
"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray""",-7.23,-2.86,-4.77,-21.37,-12.5,-11.71,-9.97
Acer 15.6 Chromebook CB5-571-C4G4,-1.37,-1.82,-1.39,0.14,-0.26,-1.01,-4.16
"Alienware - R3 17.3 Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver""",-8.96,-2.74,-17.84,-20.94,-10.35,-5.86,13.68
"Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Silver""",-10.13,-16.04,-9.84,-45.84,-9.33,-24.07,-0.73
"Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Space Gray""",3.0,8.51,4.15,-16.23,12.3,11.18,46.15
"Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage (Latest Model) - Silver""",7.07,10.57,11.26,53.15,23.04,32.8,2.45
"Apple 13.3 MacBook Air ( Silver)""",9.26,6.44,3.74,-1.85,6.68,-1.15,2.01
"Apple MacBook - 12 - Core m5 - 8 GB RAM - 512 GB flash storage - English""",-1.74,-0.11,-1.39,-3.23,-6.14,-5.91,-6.95
"Apple MacBook Pro MLUQ2LL/A 13.3 Notebook - Intel Core i5 Dual-core (2 Core) 2 GHz - 8 GB LPDDR3 - 256 GB SSD - Mac OS X 10.12 Sierra - 2560 x 1600 - In-plane Switching (IPS) Technology - Silver""",-8.13,-6.88,-7.48,-14.1,-11.42,-17.51,-13.37
"Apple MacBook Pro with Touch Bar - 13.3 - Core i5 - 8 GB RAM - 512 GB SSD - English""",14.32,12.15,9.43,6.25,7.99,-5.06,-12.43
"Asus - 2-in-1 15.6 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 950M - 2TB HDD + 512GB SSD - Sandblasted matte black aluminum""",4.11,8.11,1.77,-7.13,-1.99,1.93,8.05
"Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red""",-12.56,-9.46,-6.48,5.29,-25.64,-5.96,-21.79
"Dell - XPS 2-in-1 13.3 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Silver""",No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect
"Dell XPS 15 15.6 4K Touchcreen Laptop Intel i7-6700HQ 16GB 1TB SSD GTX 960M""",-10.39,3.49,-2.7,20.19,4.52,19.96,9.15
"Details About Alienware 13 R3 Aw13r3/13.3 Fhd/i77700hq/nvidia Gtx 1060/16gb/512gb Ssd""",-5.73,-6.02,-3.44,-6.45,4.04,-20.63,-6.88
"Details About Alienware 15 R3 Aw15r3/15.6 Fhd/i77700hq/nvidia Gtx1070/16gb/1tb Hdd+128gb Ssd""",0.51,-17.35,-11.31,-17.47,8.41,-13.38,-5.08
"Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb""",5.17,1.24,6.0,-0.01,-3.22,-6.0,-13.86
"Details About Asus Q304 13.3 Laptop I5 2.5 Ghz 6gb 1tb Hdd Win 10 (q304uabhi5t11)""",-0.38,6.3,0.04,7.27,0.92,9.64,8.69
"Details About Dell Inspiron I75675650blkpus 15.6 Laptop I57300hq""",1.59,-3.53,-2.21,-2.52,0.97,-4.19,-13.46
